time,Lfoot-m,Lfoot-l,Lfoot-u,Rfoot-m,Rfoot-l,Rfoot-u
65.65656565656566,,,,-53.02561388888889,-61.62848079400043,-44.42274698377735
66.66666666666667,,,,-55.486019999999996,-63.554829521721416,-47.41721047827858
67.67676767676768,,,,-56.82343646464646,-64.37448418827704,-49.27238874101589
68.68686868686869,,,,-57.22445131313132,-64.37374181483695,-50.07516081142569
69.6969696969697,,,,-56.87447227272727,-63.771589786003744,-49.97735475945079
70.70707070707071,,,,-55.984995808080804,-62.75398594403404,-49.216005672127565
71.71717171717172,,,,-54.66217696969697,-61.40374939504466,-47.92060454434928
72.72727272727273,,,,-52.947517727272725,-59.725554931703556,-46.169480522841894
73.73737373737374,,,,-50.85569323232322,-57.72540143073259,-43.98598503391385
74.74747474747475,,,,-48.41547595959596,-55.40773687643536,-41.42321504275656
75.75757575757576,,,,-45.66016924242424,-52.74588697779173,-38.57445150705675
76.76767676767678,,,,-42.63498202020202,-49.739324129171976,-35.53063991123206
77.77777777777779,,,,-39.40153166666666,-46.436306974726776,-32.36675635860655
78.7878787878788,,,,-36.013748484848485,-42.91020251400026,-29.117294455696708
79.7979797979798,,,,-32.50610989898989,-39.23056229108232,-25.781657506897464
80.80808080808082,,,,-28.907863939393934,-35.44100581129999,-22.37472206748788
81.81818181818183,,,,-25.245802272727268,-31.578025418513583,-18.913579126940952
82.82828282828284,,,,-21.543861717171712,-27.663883899598734,-15.42383953474469
83.83838383838385,,,,-17.831801363636366,-23.72254802831335,-11.94105469895938
84.84848484848486,,,,-14.125022575757578,-19.778053847320436,-8.47199130419472
85.85858585858587,,,,-10.422138080808072,-15.823983304733435,-5.020292856882708
86.86868686868688,,,,-6.71093944444444,-11.854062182239137,-1.5678167066497437
87.87878787878789,,,,-3.00283681818181,-7.867217892624856,1.8615442562612352
88.8888888888889,,,,0.6742877777777843,-3.8947904483775897,5.243366003933158
89.89898989898991,,,,4.265047575757582,-0.005876191906460271,8.535971343421625
90.90909090909092,,,,7.730778181818186,3.7329144136730132,11.72864194996336
91.91919191919193,,,,11.019617222222227,7.237332626039032,14.801901818405423
92.92929292929294,,,,14.099449595959602,10.405862832259858,17.793036359659347
93.93939393939395,,,,16.895001818181818,13.124793062510083,20.665210573853553
94.94949494949496,,,,19.25684383838384,15.304794737901995,23.208892938865684
95.95959595959597,,,,21.046855707070705,16.844419611610405,25.249291802531005
96.96969696969697,,,,22.121119545454544,17.654626576613797,26.58761251429529
97.97979797979798,,,,22.33478424242424,17.68357803329556,26.985990451552922
98.98989898989899,,,,21.782199949494945,17.030007597440974,26.534392301548916
100.0,,,,20.58374,15.822308900698026,25.34517109930197
0.0,10.164995,4.538836549380696,15.791153450619301,,,
1.0101010101010102,9.167065606060607,4.165070442990623,14.169060769130592,,,
2.0202020202020203,8.060876616161616,3.607065259268059,12.514687973055175,,,
3.0303030303030303,6.985588181818182,3.0131167761133852,10.958059587522978,,,
4.040404040404041,6.061831363636363,2.523667771798209,9.599994955474518,,,
5.050505050505051,5.344863636363637,2.2038637480434367,8.485863524683836,,,
6.0606060606060606,4.825801666666667,2.027555934863094,7.62404739847024,,,
7.070707070707071,4.446068131313131,1.9232719792949102,6.968864283331353,,,
8.080808080808081,4.171392777777778,1.838829780203847,6.503955775351709,,,
9.090909090909092,3.9697213636363644,1.7558779031609228,6.183564824111806,,,
10.101010101010102,3.823872222222222,1.6791693525769569,5.968575091867487,,,
11.111111111111112,3.7222294444444453,1.623901798353617,5.8205570905352735,,,
12.121212121212121,3.649210454545454,1.589954798330934,5.708466110759973,,,
13.131313131313131,3.5809067676767676,1.5674920842466489,5.594321451106886,,,
14.141414141414142,3.505712070707071,1.5463972984765613,5.46502684293758,,,
15.151515151515152,3.4228237878787873,1.5223980570164448,5.32324951874113,,,
16.161616161616163,3.3393981818181815,1.4889346705147561,5.189861693121607,,,
17.171717171717173,3.2729370202020207,1.4512456706364698,5.094628369767571,,,
18.181818181818183,3.233913181818182,1.4281063525750552,5.039720011061309,,,
19.191919191919194,3.2177875757575753,1.4213334640367297,5.014241687478421,,,
20.202020202020204,3.2045166666666667,1.412654755636169,4.996378577697165,,,
21.212121212121215,3.1771228787878782,1.3863062356926545,4.9679395218831015,,,
22.222222222222225,3.129947222222222,1.3349268196872046,4.924967624757239,,,
23.232323232323235,3.0598316666666667,1.2577181076015682,4.861945225731765,,,
24.242424242424242,2.972010303030303,1.1581610984908381,4.785859507569768,,,
