time,Lfoot_m,Lfoot_l,Lfoot_u
81.81818181818183,-8.93881909090909,-43.27544753840768,25.397809356589498
82.82828282828284,-9.162274292929293,-43.47453156024051,25.149982974381917
83.83838383838385,-9.397318939393937,-43.68387548201598,24.8892376032281
84.84848484848486,-9.646247878787879,-43.905919711604454,24.613423954028693
85.85858585858587,-9.912942272727275,-44.144719577982386,24.318835032527833
86.86868686868688,-10.201261969696969,-44.40446864375136,24.001944704357424
87.87878787878789,-10.512016666666666,-44.68677900748134,23.662745674148006
88.8888888888889,-10.849353333333337,-44.995580984963766,23.296874318297096
89.89898989898991,-11.213218535353535,-45.33229903341173,22.905861962704662
90.90909090909092,-11.607681363636363,-45.70266988552652,22.487307158253795
91.91919191919193,-12.040815757575757,-46.11426746629507,22.032635951143554
92.92929292929294,-12.516656818181819,-46.5724501889305,21.539136552566863
